symbol	net_prop	log_net_prop	DE_RNAseq	vegas_genes	netwas_genes	gwab_genes
IL17RC	0.015857307	-4.144124869	1	0	0	0
BGN	0.015617044	-4.159392402	1	0	0	0
POU3F1	0.0150639	-4.195454144	1	0	0	0
MMP14	0.015053087	-4.196172205	1	0	0	0
SLC2A1	0.015022669	-4.198194954	1	0	0	0
PTP4A3	0.015006728	-4.199256658	1	0	0	0
HEY1	0.015004854	-4.199381552	1	0	0	0
TBX1	0.014988238	-4.200489517	1	0	0	0
MXRA5	0.014977684	-4.201193906	1	0	0	0
DLC1	0.014972876	-4.201515006	1	0	0	0
PRKD1	0.014972846	-4.201516969	1	0	0	0
TPM2	0.014939156	-4.203769624	1	0	0	0
COL16A1	0.014934598	-4.204074768	1	0	0	0
IGFBP3	0.014933516	-4.204147224	1	0	0	0
PDGFA	0.014924033	-4.204782439	1	0	0	0
CHRD	0.014916641	-4.205277811	1	0	0	0
FLNC	0.014902992	-4.206193256	1	0	0	0
HOXD9	0.014890353	-4.207041741	1	0	0	0
COL15A1	0.014883517	-4.207500895	1	0	0	0
MBP	0.014844539	-4.210123259	1	0	0	0
LEF1	0.014817079	-4.211974746	1	0	0	0
COL6A3	0.014811623	-4.212343054	1	0	0	0
DSP	0.014803418	-4.212897184	1	0	0	0
OLFML2B	0.014793844	-4.213544137	1	0	0	0
LMX1B	0.014788644	-4.213895658	1	0	0	0
SEMA3A	0.014760032	-4.215832275	1	0	0	0
EFNA1	0.014748769	-4.21659565	1	0	0	0
TPD52	0.014746229	-4.216767901	1	0	0	0
KLF10	0.014745126	-4.216842666	1	0	0	0
THNSL2	0.014744383	-4.216893089	1	0	0	0
RWDD2B	0.014740796	-4.217136422	1	0	0	0
ZIC1	0.014725676	-4.218162675	1	0	0	0
ZNF132	0.014714338	-4.218932899	1	0	0	0
CHST6	0.014711969	-4.219093882	1	0	0	0
ARPC1B	0.003717312	-5.594754338	0	0	0	0
DDX39A	0.003697735	-5.600034773	0	0	0	0
SHANK2	0.002230163	-6.105680741	0	0	0	0
LTBP2	0.001783418	-6.329223705	0	0	0	0
CAMK2B	0.001675374	-6.391718931	0	0	0	0
NTRK3	0.001663639	-6.398747709	0	0	0	0
CDH11	0.001523261	-6.486902063	0	0	0	0
PAX8	0.001493933	-6.506343212	0	0	0	0
TIMP3	0.001465241	-6.525735841	0	0	0	0
HOXB5	0.001428511	-6.551122588	0	0	0	0
PDGFRA	0.001383811	-6.582913808	0	0	0	0
IGFBP5	0.0013761	-6.588502047	0	0	0	0
CYP2A6	0.001316042	-6.633126431	0	0	0	0
FZD7	0.001285163	-6.656869877	0	0	0	0
COL6A2	0.001256758	-6.679219573	0	0	0	0
COL4A1	0.001253652	-6.681694229	0	0	0	0
LAMC1	0.001211639	-6.715781384	0	0	0	0
LAMA4	0.001199322	-6.725998682	0	0	0	0
PGF	0.001177579	-6.744294598	0	0	1	0
EFEMP2	0.001168332	-6.752178004	0	0	0	0
COL6A1	0.001164782	-6.755221223	0	0	0	0
COL1A1	0.001163884	-6.755992969	0	0	0	0
ACRV1	0.001156968	-6.761952631	0	0	0	0
MAP1A	0.001140607	-6.776194265	0	0	0	0
MMP2	0.001136913	-6.779438707	0	0	0	0
COL4A2	0.00113649	-6.779810569	0	0	0	0
MMP16	0.001135041	-6.78108635	0	0	0	0
SFRP1	0.001125158	-6.789831924	0	0	0	0
COL3A1	0.001111409	-6.802126681	0	0	0	0
IGHG1	0.001105225	-6.807706662	0	0	0	0
SNTA1	0.001081765	-6.829161548	0	0	0	0
WNT6	0.001073686	-6.836657803	0	0	0	0
FBN1	0.001043494	-6.865180355	0	0	0	0
MRC2	0.001023579	-6.884450331	0	0	0	0
TRA	0.001010884	-6.896929993	0	0	0	0
KANK1	0.000978165	-6.929831714	0	0	0	0
